"ID"	"SAC_Acquisition_Mode_Abbreviation"	"Acquisition_Mode_Abbreviation"	"Acquisition_Mode_Name"	"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
1	"WISK"	"WiskBroom"	"Wisk Broom Scanner"	1	"AVH"	"AVHRR-3 "
2	"VV"	"VV"	"Vertical Vertical Polarisation"	2	"AMI"	"AMI-1"
3	"BUMP"	"BUMP"	"Bumper Mode"	3	"TM"	"TM-4"
4	"SAM"	"SAM"	"Scan Angle Monitor"	3	"TM"	"TM-4"
5	"BUMP"	"BUMP"	"Bumper Mode"	4	"TM "	"TM-5"
6	"SAM"	"SAM"	"Scan Angle Monitor"	4	"TM "	"TM-5"
7	"BUMP"	"BUMP"	"Bumper Mode"	5	"MSS "	"MSS-1"
8	"SAM"	"SAM"	"Scan Angle Monitor"	5	"MSS "	"MSS-1"
9	"BUMP"	"BUMP"	"Bumper Mode"	6	"MSS"	"MSS-2"
10	"SAM"	"SAM"	"Scan Angle Monitor"	6	"MSS"	"MSS-2"
11	"BUMP"	"BUMP"	"Bumper Mode"	7	"MSS"	"MSS-3"
12	"SAM"	"SAM"	"Scan Angle Monitor"	7	"MSS"	"MSS-3"
13	"BUMP"	"BUMP"	"Bumper Mode"	8	"MSS"	"MSS-4"
14	"SAM"	"SAM"	"Scan Angle Monitor"	8	"MSS"	"MSS-4"
15	"BUMP"	"BUMP"	"Bumper Mode"	9	"MSS"	"MSS-5"
16	"SAM"	"SAM"	"Scan Angle Monitor"	9	"MSS"	"MSS-5"
17	"BUMP"	"BUMP"	"Bumper Mode"	10	"ETM"	"ETM+"
18	"SAM"	"SAM"	"Scan Angle Monitor"	10	"ETM"	"ETM+"
19	"CAM1"	"CAM1"	"Camera 1"	11	"HRV"	"HRV-1"
20	"CAM2"	"CAM2"	"Camera 2"	11	"HRV"	"HRV-1"
21	"CAM1"	"CAM1"	"Camera 1"	12	"HRV"	"HRV-2"
22	"CAM2"	"CAM2"	"Camera 2"	12	"HRV"	"HRV-2"
23	"CAM1"	"CAM1"	"Camera 1"	13	"HRV"	"HRV-3"
24	"CAM2"	"CAM2"	"Camera 2"	13	"HRV"	"HRV-3"
25	"CAM1"	"CAM1"	"Camera 1"	14	"HIR"	"HRVIR-4"
26	"CAM2"	"CAM2"	"Camera 2"	14	"HIR"	"HRVIR-4"
27	"PB"	"PushBroom"	"Push Broom Scanner"	15	"VMI"	"Vegetation-4"
28	"CAM1"	"CAM1"	"Camera 1"	16	"HRG"	"HRG-5"
29	"CAM2"	"CAM2"	"Camera 2"	16	"HRG"	"HRG-5"
