"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"	"Sensor_Name"	"Satellite_ID"	"Satellite_Abbreviation"
1	"AVH"	"AVHRR-3 "	"Advanced Very High Resolution Radiometer NOAA"	1	"NOAA-14"
2	"AMI"	"AMI-1"	"Active Microwave Instrument ERS-1"	9	"ERS-1"
3	"TM"	"TM-4"	"Thematic Mapper Landsat 4"	14	"LS-4"
4	"TM "	"TM-5"	"Thematic Mapper Landsat 5"	10	"LS-5"
5	"MSS "	"MSS-1"	"Multi-Spectral-Scanner Landsat 1"	23	"LS-1"
6	"MSS"	"MSS-2"	"Multi-Spectral-Scanner Landsat 2"	12	"LS-2"
7	"MSS"	"MSS-3"	"Multi-Spectral-Scanner Landsat 3"	13	"LS-3"
8	"MSS"	"MSS-4"	"Multi-Spectral-Scanner Landsat 4"	14	"LS-4"
9	"MSS"	"MSS-5"	"Multi-Spectral-Scanner Landsat 5"	10	"LS-5"
10	"ETM"	"ETM+"	"Enhanced Thematic Mapper Plus Landsat 7"	11	"LS-7"
11	"HRV"	"HRV-1"	"Haute Resolution Visible Spot 1"	17	"SPOT-1"
12	"HRV"	"HRV-2"	"Haute Resolution Visible Spot 2"	15	"SPOT-2"
13	"HRV"	"HRV-3"	"Haute Resolution Visible Spot 3"	22	"SPOT-3"
14	"HIR"	"HRVIR-4"	"High-Resolution Visible and Infrared sensor Spot 4"	16	"SPOT-4"
15	"VMI"	"Vegetation-4"	"Vegetation Monitoring Instrument / Vegetation Spot 4"	16	"SPOT-4"
16	"HRG"	"HRG-5"	"High Resolution Geometric Spot 5"	18	"SPOT-5"
17	"HRS"	"HRS-5"	"High Resolution Stereoscopic Spot 5"	18	"SPOT-5"
18	"VMI"	"Vegetation-5"	"Vegetation Monitoring Instrument / Vegetation Spot 5"	18	"SPOT-5"
19	"AMI"	"AMI-2"	"Active Microwave Instrument ERS-1"	8	"ERS-2"
20	"RBV"	"RBV-1"	"Return Beam Vidicon Camera Landsat 1"	23	"LS-1"
21	"RBV"	"RBV-2"	"Return Beam Vidicon Camera Landsat 2"	12	"LS-2"
22	"RBV"	"RBV-3"	"Return Beam Vidicon Camera Landsat 3"	13	"LS-3"
23	"HRC"	"HRCC-2B"	"High Resolution CCD Camera CBERS2-B"	20	"CBERS-2-B"
24	"HRP"	"HRPC-2B"	"High Resolution Panchromatic Camera CBERS 2 B"	20	"CBERS-2-B"
25	"WFI"	"WFI-2B"	"Wide-Field Imager CBERS 2 B"	20	"CBERS-2-B"
26	"PAL"	"PAL-2"	"PAL ZA-002"	19	"ZASat-002"
27	"MSI"	"MSI-2"	"Multispectral Imager ZA-002"	19	"ZASat-002"
28	"MUX"	"MUX-3"	"MUX CBERS 3"	24	"CBERS 3"
