"ID"	"SAC_Processing_Level_Abbreviation"	"Provider_Processing_Level_Abbreviation"	"Processing_Level_Name"	"Default_File_Format"	"Default_Projection"	"Default_Resampling_Algorithm"	"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
1	"L0"	"Level-0"	"Data products are unprocessed telemetry data as received from the observing platform excluding communication artifacts introduced by ground system.(Source www.ngdc.noaa.gov)"	"CEOS"	"ORBIT"	"NA"	1	"AVH"	"AVHRR-3 "
2	"L1A"	"Level-1a"	"Data products are telemetry data that have been extracted but not decommutated from level 0 and formatted into time-sequenced datasets for easier processing. Level 1a formats are NOAA's internal formats and are only used for NOAA processing. They only exist briefly for the purpose of creating the level 1b datasets (Source www.ngdc.noaa.gov)"	"CEOS"	"ORBIT"	"NA"	1	"AVH"	"AVHRR-3 "
3	"L1B"	"Level-1b"	"Data products are discrete, instrument-specific datasets derived from level 1a containing unprocessed data at full resolution, time-referenced, and annotated with ancillary information including data quality indicators, calibration coefficients and georeferencing parameters. (Source www.ngdc.noaa.gov)"	"CEOS"	"ORBIT"	"NA"	1	"AVH"	"AVHRR-3 "
4	"L2"	"Level-2"	"Data products are derived geophysical variables at the same resolution and locations as the level 1 source data. (Source www.ngdc.noaa.gov)"	"TIF"	"UTM"	"CC"	1	"AVH"	"AVHRR-3 "
5	"L3"	"Level-3"	"Data products are mapped on uniform space-time grid scales, usually with some completeness and consistency. (Source www.ngdc.noaa.gov)"	"TIF"	"UTM"	"CC"	1	"AVH"	"AVHRR-3 "
6	"L4A"	"Level-4"	"Data products are model output or results from analysis of lower level data e.g.variables derived from multiple measurements. (Source www.ngdc.noaa.gov)"	"TIF"	"UTM"	"CC"	1	"AVH"	"AVHRR-3 "
7	"L0"	"RAW"	"Raw SAR telemetry data corresponding to one frame of data acquisition (16 seconds) with all auxiliary data necessary for processing. (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	2	"AMI"	"AMI-1"
8	"L1Aa"	"SLCI"	"Single Look Complex Image. This is pre-processed but retains the data in complex (i.e. phase-preserving) form. The product is single-look (no speckle reduction) and in slant range. Full frame (SLCI) format. (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	2	"AMI"	"AMI-1"
9	"L1Ab"	"SLCn"	"Single Look Complex Image. This is pre-processed but retains the data in complex (i.e. phase-preserving) form. The product is single-look (no speckle reduction) and in slant range. Quarter frame (SLCn) (Source Eurimage)"	"CEOS"	"ORBIT"	"NA"	2	"AMI"	"AMI-1"
10	"L2A"	"PRI"	"Precision Image (PRI). This is the standard product for most imaging-radar applications. It is the first product from which radar backscatter can be derived for geophysical modelling. No correction is applied for terrain-induced radiometric effects, the image is not geocoded, and terrain distortion (foreshortening and layover) has not been removed. (Source Eurimage)"	"CEOS"	"ORBIT"	"ML"	2	"AMI"	"AMI-1"
