"ID"	"SAC_Sensor_Type_Abbreviation"	"Sensor_Type_Abbreviation"	"Type_Name"	"Resolution"	"Bands"	"Sensor_ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
1	"VIT"	"VisNirSwirTh"	"Visual, Near Infrared, Short Wave Infrared and Thermal"	1100	5	1	"AVH"	"AVHRR-3 "
2	"STM"	"STM-C"	"Strip Map C Band"	30	1	2	"AMI"	"AMI-1"
3	"HRF"	"HRF"	"Multispectral "	30	6	3	"TM"	"TM-4"
4	"HTM"	"HTM"	"Thermal"	120	1	3	"TM"	"TM-4"
5	"HRF"	"HRF"	"Multispectral "	30	6	4	"TM "	"TM-5"
6	"HTM"	"HTM"	"Thermal"	120	1	4	"TM "	"TM-5"
7	"VNI"	"VisNir"	"Visual, Near Infrared "	80	4	5	"MSS "	"MSS-1"
8	"VNI"	"VisNir"	"Visual, Near Infrared "	80	4	6	"MSS"	"MSS-2"
9	"VNI"	"VisNir"	"Visual, Near Infrared "	80	4	7	"MSS"	"MSS-3"
10	"VNT"	"VisNirTh"	"Visual, Near Infrared, Thermal "	80	5	7	"MSS"	"MSS-3"
11	"VNI"	"VisNir"	"Visual, Near Infrared "	80	4	8	"MSS"	"MSS-4"
12	"VNI"	"VisNir"	"Visual, Near Infrared "	80	4	9	"MSS"	"MSS-5"
13	"HPN"	"HPN"	"Panchromatic"	15	1	10	"ETM"	"ETM+"
14	"HRF"	"HRF"	"Multispectral "	30	6	10	"ETM"	"ETM+"
15	"HPM"	"HPM"	"Pansharpened Multispectral"	15	6	10	"ETM"	"ETM+"
16	"HTM"	"HTM"	"Thermal"	60	2	10	"ETM"	"ETM+"
17	"XS"	"Xs"	"Visual, NearInfrared,"	20	3	11	"HRV"	"HRV-1"
18	"P"	"P"	"Panchromatic"	10	1	11	"HRV"	"HRV-1"
19	"XSP"	"XsP"	"Pansharpened Visual, NearInfrared,"	10	3	11	"HRV"	"HRV-1"
